# mesh_dimension, injection_load, RA_index, VC_index, size_of_flit, size_of_packet_in_bits, total_received_packets, total_received_flits, received_flits_ratio, average_wireless_utilization, global_average_delay, max_delay, network_throughput, average_IP_throughput, total_energy, dynamic_energy, static_energy
8,0.81,0,4,32,2048,1165,7.451E+04,0.07565,0,9530,1.939E+04,3.921,0.06127,3.736E-05,1.527E-06,3.583E-05
8,0.82,0,4,32,2048,1198,7.656E+04,0.07678,0,9622,1.898E+04,4.029,0.06296,3.749E-05,1.655E-06,3.583E-05
8,0.83,0,4,32,2048,1203,7.704E+04,0.07633,0,9423,1.901E+04,4.055,0.06335,3.748E-05,1.646E-06,3.583E-05
8,0.84,0,4,32,2048,1164,7.433E+04,0.07277,0,9540,1.957E+04,3.912,0.06113,3.742E-05,1.589E-06,3.583E-05
8,0.85,0,4,32,2048,1233,7.913E+04,0.07656,0,9524,1.911E+04,4.165,0.06507,3.748E-05,1.648E-06,3.583E-05
8,0.86,0,4,32,2048,1215,7.808E+04,0.07466,0,9423,1.941E+04,4.109,0.06421,3.748E-05,1.645E-06,3.583E-05
8,0.87,0,4,32,2048,1189,7.613E+04,0.07196,0,9641,1.914E+04,4.007,0.06261,3.744E-05,1.61E-06,3.583E-05
8,0.88,0,4,32,2048,1210,7.744E+04,0.07237,0,9376,1.927E+04,4.076,0.06368,3.746E-05,1.63E-06,3.583E-05
8,0.89,0,4,32,2048,1192,7.655E+04,0.07073,0,9435,1.909E+04,4.029,0.06295,3.745E-05,1.619E-06,3.583E-05
8,0.9,0,4,32,2048,1226,7.872E+04,0.07193,0,9403,1.933E+04,4.143,0.06474,3.75E-05,1.669E-06,3.583E-05
8,0.91,0,4,32,2048,1242,7.944E+04,0.07179,0,9556,1.924E+04,4.181,0.06533,3.754E-05,1.701E-06,3.583E-05
8,0.92,0,4,32,2048,1194,7.637E+04,0.06827,0,9808,1.936E+04,4.02,0.06281,3.741E-05,1.58E-06,3.583E-05
8,0.93,0,4,32,2048,1198,7.699E+04,0.06808,0,9718,1.899E+04,4.052,0.06331,3.747E-05,1.631E-06,3.583E-05
8,0.94,0,4,32,2048,1212,7.757E+04,0.06786,0,9772,1.934E+04,4.082,0.06379,3.741E-05,1.578E-06,3.583E-05
8,0.95,0,4,32,2048,1179,7.542E+04,0.06529,0,9752,1.93E+04,3.97,0.06202,3.743E-05,1.597E-06,3.583E-05
8,0.96,0,4,32,2048,1170,7.522E+04,0.06444,0,9474,1.92E+04,3.959,0.06186,3.738E-05,1.546E-06,3.583E-05
8,0.97,0,4,32,2048,1190,7.608E+04,0.0645,0,9587,1.928E+04,4.004,0.06256,3.74E-05,1.564E-06,3.583E-05
8,0.98,0,4,32,2048,1204,7.709E+04,0.06469,0,9877,1.915E+04,4.058,0.0634,3.745E-05,1.614E-06,3.583E-05
8,0.99,0,4,32,2048,1186,7.562E+04,0.06281,0,9611,1.949E+04,3.98,0.06218,3.737E-05,1.539E-06,3.583E-05
