# mesh_dimension, injection_load, RA_index, VC_index, size_of_flit, size_of_packet_in_bits, total_received_packets, total_received_flits, received_flits_ratio, average_wireless_utilization, global_average_delay, max_delay, network_throughput, average_IP_throughput, total_energy, dynamic_energy, static_energy, buffer_size
8,0.17,0,4,32,2048,2096,1.335E+05,0.6457,0,3018,1.543E+04,7.026,0.1098,0.0002883,8.014E-06,0.0002803,32
8,0.17,0,4,32,2048,2292,1.469E+05,0.7105,0,2340,1.268E+04,7.73,0.1208,0.0004593,1.259E-05,0.0004467,64
8,0.18,0,4,32,2048,1765,1.13E+05,0.5161,0,4682,1.552E+04,5.945,0.09289,3.802E-05,2.187E-06,3.583E-05,2
8,0.18,0,4,32,2048,1861,1.191E+05,0.5441,0,4327,1.403E+04,6.268,0.09794,6.201E-05,2.622E-06,5.939E-05,4
8,0.18,0,4,32,2048,1908,1.22E+05,0.5574,0,4235,1.436E+04,6.421,0.1003,6.336E-05,3.209E-06,6.015E-05,8
8,0.18,0,4,32,2048,2027,1.293E+05,0.5909,0,3971,1.46E+04,6.807,0.1064,0.0001174,4.552E-06,0.0001129,16
8,0.18,0,4,32,2048,2161,1.385E+05,0.6327,0,3282,1.447E+04,7.288,0.1139,0.0002886,8.258E-06,0.0002803,32
8,0.18,0,4,32,2048,2254,1.436E+05,0.6559,0,3115,1.548E+04,7.556,0.1181,0.0004589,1.216E-05,0.0004467,64
8,0.19,0,4,32,2048,1771,1.133E+05,0.4902,0,5263,1.544E+04,5.961,0.09314,3.806E-05,2.23E-06,3.583E-05,2
8,0.19,0,4,32,2048,1867,1.196E+05,0.5175,0,4652,1.38E+04,6.292,0.09832,6.203E-05,2.641E-06,5.939E-05,4
8,0.19,0,4,32,2048,1893,1.216E+05,0.5263,0,4095,1.369E+04,6.4,0.1,6.331E-05,3.157E-06,6.015E-05,8
8,0.19,0,4,32,2048,2010,1.281E+05,0.5543,0,3686,1.571E+04,6.741,0.1053,0.0001173,4.45E-06,0.0001129,16
8,0.19,0,4,32,2048,2070,1.329E+05,0.5753,0,3295,1.478E+04,6.996,0.1093,0.0002882,7.86E-06,0.0002803,32
8,0.19,0,4,32,2048,2351,1.502E+05,0.6501,0,2724,1.558E+04,7.905,0.1235,0.0004596,1.289E-05,0.0004467,64
8,0.2,0,4,32,2048,1784,1.14E+05,0.4687,0,5335,1.657E+04,5.999,0.09373,3.809E-05,2.253E-06,3.583E-05,2
